\begin{tabular}{lrlr}
\toprule
  Group &  DRH ID &                                                                Entry Name &  Weight \\
\midrule
Group 1 &    1321 &                                                      Mourides (Muridiyya) &  100.00 \\
Group 1 &    1293 &                                The Zapotec or Ben 'Zaa (The Cloud People) &  100.00 \\
Group 1 &    1178 &                                               Modern Mystery School (MMS) &  100.00 \\
Group 1 &    1140 &                                               Early Medieval Confucianism &  100.00 \\
Group 1 &    1125 &                                      Ancient Egypt - the Ramesside Period &  100.00 \\
Group 1 &    1043 &                                                             Islam in Aceh &  100.00 \\
Group 1 &    1041 &                                                        Korean Catholicism &  100.00 \\
Group 1 &    1038 &                                                Sino-Muslims in Qing China &  100.00 \\
Group 1 &    1013 &                                       Estado da Índia Renegades in Deccan &  100.00 \\
Group 1 &    1008 &                                 Ancient Egypt - First Intermediate Period &  100.00 \\
Group 1 &    1006 &                                               Ancient Egypt - Old Kingdom &  100.00 \\
Group 1 &     993 &                      Pontifex Maximus and Pontifices (Pontifical College) &  100.00 \\
Group 1 &     989 &                                                                  Opus Dei &  100.00 \\
Group 1 &     983 &                         Tibetan and Himalayan Mundane and Landscape Cults &  100.00 \\
Group 1 &     974 &                                     Greek Chalcedonian Christians, Nicaea &  100.00 \\
Group 1 &     970 &                                          Cult of Isis (Mysteries of Isis) &  100.00 \\
Group 1 &     966 &           Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān, &  100.00 \\
Group 1 &     963 &                                                       The Knights Templar &  100.00 \\
Group 1 &     960 &                                                                 Bön (Bon) &  100.00 \\
Group 1 &     943 &                                      Moravian Missionaries in Nunatsiavut &  100.00 \\
Group 1 &     931 &                                 The Society of Jesus (Jesuits) in Britain &  100.00 \\
Group 1 &     926 &                                                          Ladakhi Buddhism &  100.00 \\
Group 1 &     899 &                                                      Nahdlatul Ulama (NU) &  100.00 \\
Group 1 &     891 &                                                          Peruvian Mormons &  100.00 \\
Group 1 &     869 &                                            Sichuan Esoteric Buddhist Cult &  100.00 \\
Group 1 &     788 &                                  The Late Bronze Age City-State of Ugarit &  100.00 \\
Group 1 &     738 &                                                          Ancient Egyptian &  100.00 \\
Group 1 &     714 &                                                        Tamil Śaiva Bhakti &  100.00 \\
Group 1 &     661 &                                                   Congregation of Savigny &  100.00 \\
Group 1 &     654 &                                                   12th-13th c Cistercians &  100.00 \\
Group 1 &     632 &                                                Local Religion at Selinous &  100.00 \\
Group 1 &     564 &                  Tribal Christianity (and allied castes) in the Himalayas &  100.00 \\
Group 1 &     563 &                         Gaddi, a Hindu community of the Western Himalayas &  100.00 \\
Group 1 &     526 &                                                        Hmong Christianity &  100.00 \\
Group 1 &     483 &                                            Northern Irish Roman Catholics &  100.00 \\
Group 1 &     476 &                                                                 Cham Bani &  100.00 \\
Group 1 &     442 &                                                                  Donatism &  100.00 \\
Group 1 &     440 &                                          Jain Digambara Tantra, Karnataka &  100.00 \\
Group 1 &     420 &                                                    Swaminarayan Sampraday &  100.00 \\
Group 1 &     415 &                                                   Shaiva World Renouncers &  100.00 \\
Group 1 &     390 &                                                                    Dasara &  100.00 \\
Group 1 &     358 &                                   16th-17th c. Gauḍīya Vaiṣṇava Tradition &  100.00 \\
Group 1 &     200 &                                                              Nechung Cult &  100.00 \\
Group 1 &     354 &                                  Priests and Scholars of Hellenistic Uruk &   98.41 \\
Group 1 &     900 &                                                                 Pharisees &   97.35 \\
Group 1 &     590 &                                                Huayan School (Early Tang) &   96.54 \\
Group 1 &     676 &   The Order of the Holy Trinity for the Redemption of Captives, 1198-1500 &   96.52 \\
Group 1 &    1069 &                                                Religion at Deir el-Medina &   96.32 \\
Group 1 &     228 &                                                         Late Chosŏn Korea &   94.69 \\
Group 1 &    1258 &                                                         Religion in Judah &   94.14 \\
Group 1 &    1162 &                                                              Lingbao dafa &   94.14 \\
Group 1 &     870 &                                          Postsocialist Mongolian Buddhism &   92.58 \\
Group 1 &    1218 &                                                 Yiguan Dao/I-Kuan Tao 一貫道 &   92.35 \\
Group 1 &     441 &                                                      Worshipers of Śītalā &   89.87 \\
Group 1 &     972 &                                                    Nestorian Christianity &   89.78 \\
Group 1 &    1172 &                                            Twofold Mystery (Chongxuan 重玄) &   89.44 \\
