node_id,datastate_sum,entry_id,config_id,entry_prob,entry_drh,config_prob
0,9.0,114,1025926,1.0,12th-13th c Cistercians,0.02116768805233634
0,9.0,119,1025926,1.0,Congregation of Savigny,0.02116768805233634
0,9.0,220,1025926,1.0,Nahdlatul Ulama (NU),0.02116768805233634
0,9.0,245,1025926,1.0,Moravian Missionaries in Nunatsiavut,0.02116768805233634
0,9.0,258,1025926,1.0,The Knights Templar,0.02116768805233634
0,9.0,261,1025926,1.0,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",0.02116768805233634
0,9.0,269,1025926,1.0,"Greek Chalcedonian Christians, Nicaea",0.02116768805233634
0,9.0,356,1025926,1.0,The Zapotec or Ben 'Zaa (The Cloud People),0.02116768805233634
1,4.625,100,1027974,1.0,Local Religion at Selinous,0.01754665166884335
1,4.625,235,1027974,1.0,The Society of Jesus (Jesuits) in Britain,0.01754665166884335
1,4.625,321,1027974,1.0,Early Medieval Confucianism,0.01754665166884335
2,8.9375,50,1027975,1.0,Cham Bani,0.015914699718411706
2,8.9375,157,1027975,1.0,Ancient Egyptian,0.015914699718411706
2,8.9375,175,1027975,1.0,The Late Bronze Age City-State of Ugarit,0.015914699718411706
2,8.9375,265,1027975,1.0,Cult of Isis (Mysteries of Isis),0.015914699718411706
2,8.9375,290,1027975,1.0,Ancient Egypt - Old Kingdom,0.015914699718411706
2,8.9375,291,1027975,1.0,Ancient Egypt - First Intermediate Period,0.015914699718411706
2,8.9375,315,1027975,1.0,Ancient Egypt - the Ramesside Period,0.015914699718411706
3,5.71875,202,362374,1.0,The Branch Davidians,0.01288054466398563
3,5.71875,205,362374,1.0,Egyptian Salafism (inluding North Africa and West Asia),0.01288054466398563
3,5.71875,263,362374,1.0,"Anabaptist Mennonites in North America, 1683-2021",0.01288054466398563
3,5.71875,282,362374,1.0,Churches of Christ- United States,0.01288054466398563
3,5.71875,364,362374,1.0,Jehovah's Witnesses,0.01288054466398563
4,1.71875,301,1025927,1.0,Islam in Aceh,0.012290465532404439
5,2.59375,349,634758,1.0,Tsonga,0.010330348913454473
6,1.375,24,1044358,0.763467954326985,16th-17th c. Gauḍīya Vaiṣṇava Tradition,0.009919460139671654
7,0.6875,190,1044359,0.8545375024548414,Pre-Christian Religion / Paganism in Ireland,0.009896372705871775
8,0.59375,338,1017734,0.9234837568497202,Yiguan Dao/I-Kuan Tao 一貫道,0.00853567226722029
9,2.375,15,769926,1.0,Religion in Mesopotamia,0.007790651598817779
9,2.375,317,769926,1.0,Ancient Thessalians,0.007790651598817779
10,2.125,192,1025922,1.0,Middle-Class Migrant Muslims in the UAE,0.007701496402856931
10,2.125,307,1025922,1.0,Inquisitors of Goa's Santo Ofício,0.007701496402856931
11,2.15625,224,894854,1.0,Tariqa Shadhiliyya,0.007077816614649814
12,0.6875,369,638854,0.7177783447213829,Luguru,0.006561949802395398
13,2.25,36,886662,1.0,Edinoverie,0.006474200425239596
13,2.25,278,886662,1.0,Calvinism (Early/Reformation),0.006474200425239596
14,5.6875,44,501638,1.0,Donatism,0.006433445165403698
14,5.6875,54,501638,1.0,Northern Irish Roman Catholics,0.006433445165403698
14,5.6875,283,501638,1.0,Opus Dei,0.006433445165403698
14,5.6875,299,501638,1.0,Sino-Muslims in Qing China,0.006433445165403698
14,5.6875,367,501638,1.0,Mourides (Muridiyya),0.006433445165403698
15,0.96875,29,370566,0.4930930736415881,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,0.006258125675068284
16,0.125,78,1042310,0.3472050385446508,Huayan School (Early Tang),0.006180657945709727
17,0.125,4,493446,0.6207244269381663,Qumran Movement,0.005837286671106421
18,6.5,193,362368,1.0,Wesleyanism,0.0057514692181761225
18,6.5,204,362368,1.0,Free Methodist Church,0.0057514692181761225
18,6.5,244,362368,1.0,African Methodist Episcopal Church,0.0057514692181761225
18,6.5,250,362368,1.0,The Religious Society of Friends,0.0057514692181761225
18,6.5,270,362368,1.0,Neo-Charismatic Movement - Third Wave Charismatic Movement,0.0057514692181761225
18,6.5,371,362368,1.0,No-debt Movement in US Evangelicalism,0.0057514692181761225
19,1.21875,285,1032070,1.0,Pontifex Maximus and Pontifices (Pontifical College),0.005637525869608882
20,1.90625,348,765830,1.0,Religion in the Old Assyrian Period,0.005508110791521416
21,0.78125,134,634754,0.8366009768621941,Badjau,0.0053701276347029115
22,1.09375,40,1032071,0.8954459043211651,Achaemenid Religion,0.004753837876952294
23,0.625,357,503686,0.8010283863198495,Donatism,0.004542307597515099
24,0.625,334,1027970,0.7406581616288441,K’iche’ (Quiché),0.004530986532242435
25,2.25,213,520070,1.0,Peruvian Mormons,0.004177824754879405
25,2.25,277,520070,1.0,Tibetan and Himalayan Mundane and Landscape Cults,0.004177824754879405
26,0.875,30,896902,0.2757893600718827,Iban traditional religion,0.004099626895881942
27,2.0625,65,769927,1.0,Roman Imperial Cult,0.004058349623661612
28,2.03125,181,1025920,1.0,19th century German Protestantism,0.003985700777258148
28,2.03125,380,1025920,1.0,Twelver Shi'ism in post-revolutionary Iran,0.003985700777258148
29,1.125,199,1042311,1.0,Sichuan Esoteric Buddhist Cult,0.003947420825021324
30,1.5625,267,1017735,0.8977539491133236,Nestorian Christianity,0.0036894046233601004
31,0.34375,142,765826,0.2384929750327309,Huichol,0.0035971521878231335
32,0.78125,147,634752,0.942250573123022,Semang,0.0034532853763707605
33,0.84375,122,651142,0.6761931421025763,Ainu,0.0033032937473343547
34,0.28125,116,372614,0.2536835822284276,Trukese,0.0030874605496421246
35,0.59375,48,765831,0.7858685954751891,Archaic Spartan Cults,0.003086218838026164
36,0.625,188,1048454,0.8022254726754791,Pre-Christian Religion / Paganism in Gaul,0.0030731744345140984
37,0.25,61,518022,0.2677707555886126,Krishna Worship in North India - Modern Period,0.0030562211903229484
38,0.625,345,520071,0.5998400519985615,Taiping 太平 Movement,0.002996727790335988
39,0.15625,74,110470,0.429841072266946,Mentawai (Rereiket),0.002971419853883998
40,1.0625,300,503687,1.0,Korean Catholicism,0.0029620324004508394
41,0.1875,85,632710,0.3231272404459346,Tallensi,0.002946952338605868
42,1.125,362,362370,1.0,Southern Baptists,0.0029095849384258997
43,0.0625,385,361984,0.4119515759144189,Messalians,0.0028841734297796353
45,1.0,333,1048455,1.0,Kaharingan,0.0028505380516198535
46,4.3125,8,1041286,1.0,Nechung Cult,0.0028233428929081957
46,4.3125,31,1041286,1.0,Dasara,0.0028233428929081957
46,4.3125,35,1041286,1.0,Shaiva World Renouncers,0.0028233428929081957
46,4.3125,42,1041286,1.0,"Jain Digambara Tantra, Karnataka",0.0028233428929081957
49,2.59375,381,1017730,1.0,The Reformed Church (Early Orthodoxy),0.0025181197095164947
49,2.59375,406,1017730,1.0,Tijaniyya Order/ الطريقة التيجانية,0.0025181197095164947
50,0.5,252,361344,0.96745796722528,Sachchai,0.002510546643846977
52,0.125,85,624518,0.2728952998854649,Tallensi,0.0024888320807684434
53,1.875,38,516998,1.0,Swaminarayan Sampraday,0.0024728636875859305
55,0.75,195,362246,0.8637367220607548,Valentinians,0.0024410959559698093
56,1.0,210,388998,1.0,Pushtimarg (The Path of Grace) in the UK and Gujarat,0.002380839715928302
57,1.5,272,501634,1.0,Chishti Sufis,0.0022515935338276627
58,0.125,12,769922,0.4857538473809499,Old Norse Fornsed,0.0022464006741794726
59,1.125,328,378758,1.0,Modern Mystery School (MMS),0.0022340528909291298
60,0.25,292,385536,0.672801305988181,Pythagoreanism,0.0021716604855496206
61,0.15625,120,114566,0.5970317321786447,Goajiro,0.002164908785312719
62,0.25,82,632706,0.2691566979084209,Amhara,0.002158469435027587
63,0.5,404,100224,0.5671506879724247,Tunisian Women's Associations,0.0021048839195967
64,0.65625,135,782214,0.6228310953715119,Popoluca,0.002100776298453117
66,0.28125,82,894850,0.2556075967430148,Amhara,0.0020498140645133587
68,0.53125,346,655238,0.676101636423189,Shilluk,0.002023345234012691
69,1.0,68,385926,1.0,"Gaddi, a Hindu community of the Western Himalayas",0.002018808541627991
