related_q_id,related_q,question
4676,Does the religion have official political support,Official political support
4729,Does the religious group have scriptures:,Scriptures
4745,Is monumental religious architecture present:,Monumental religious architecture
4776,Is a spirit-body distinction present:,Spirit-body distinction
4780,Belief in afterlife:,Belief in afterlife
4787,Reincarnation in this world:,Reincarnation in this world
4794,Are there special treatments for adherents' corpses:,Special treatment for corpses
4808,Are co-sacrifices present in tomb/burial:,Co-sacrifices in tomb/burial
4814,Are grave goods present:,Grave goods
4821,Are formal burials present:,Formal burials
4827,Are supernatural beings present:,Supernatural beings present
4954,Is supernatural monitoring present:,Supernatural monitoring present
4983,Do supernatural beings mete out punishment:,Supernatural beings punish
5127,Does membership in this religious group require castration:,Castration required
5132,Does membership in this religious group require sacrifice of adults:,Adult sacrifice required
5137,Does membership in this religious group require sacrifice of children:,Child sacrifice required
5142,Does membership in this religious group require self-sacrifice (suicide):,Suicide required
5152,"Does membership in this religious group require participation in small-scale rituals (private, household):",Small-scale rituals required
5154,Does membership in this religious group require participation in large-scale rituals:,Large-scale rituals required
5220,Does the religious group in question possess its own distinct written language:,Distinct written language
